"filename","title","year","director","language","country","user_tag","tier","decade","subdirectory","destination","confidence","reason","tmdb_id","tmdb_title","data_readiness"
"insufficient_data/Interviews - Craig Barron and Ben Burtt (2021).mkv","Craig Barron and Ben Burtt","2021","","","","","Unsorted","2020s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Interviews - Allen Daviau, Haskell Wexler, and Vilmos Zsigmond - On Toland (1990).mkv","Allen Daviau, Haskell Wexler, and Vilmos Zsigmond - On Toland","1990","","","","","Unsorted","1990s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/The Explosive Generation (1961) MGM Limited DVDRip x264 BBM [CG].mkv","The Explosive Generation","1961","Buzz Kulik","","US","","Unsorted","1960s","","Unsorted/","0.0","unsorted_no_match","119536","The Explosive Generation","R3"
"insufficient_data/Karina, Objeto Do Prazer (1981) Jean Garret.MKO.mkv","Karina, Objeto Do Prazer","1981","","","","","Unsorted","1980s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Tchau Amor, Jean Garret, 1982.avi","Tchau Amor, Jean Garret,","1982","","","","","Unsorted","1980s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Allan Dwan - 1952 - Montana Belle -La bella de Montana [dual español-inglés] ֍1264.avi","Allan Dwan","1952","","","","","Unsorted","1950s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Bitter Stems, The (1956) - 1080p.mp4","The Bitter Stems","1956","Fernando Ayala","","AR","","Unsorted","1950s","","Unsorted/","0.0","unsorted_no_match","185250","The Bitter Stems","R3"
"insufficient_data/Raoul.Ruiz.2000.Comedy.of.Innocence.mkv","Raoul Ruiz","2000","","","","","Unsorted","2000s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Das Tripas Coração (1982).mp4","Das Tripas Coração","1982","","","","","Unsorted","1980s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Engraçadinha.1981.720p.mkv","Engraçadinha","1981","","","","","Unsorted","1980s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Farewell China çˆ±åœ¨åˆ«ä¹¡çš„å­£èŠ‚ 1990.mkv","Farewell China çˆ±åœ¨åˆ«ä¹¡çš„å­£èŠ‚","1990","","","","","Unsorted","1990s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Femmine.carnivore.1970.mkv","Femmine carnivore","1970","","","","","Unsorted","1970s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Hot Rock, The (1972).mp4","The Hot Rock","1972","Peter Yates","","US","","Unsorted","1970s","","Unsorted/","0.0","unsorted_no_match","46059","The Hot Rock","R3"
"insufficient_data/Hustler, The (1961).mp4","The Hustler","1961","Robert Rossen","","US","","Unsorted","1960s","","Unsorted/","0.0","unsorted_no_match","990","The Hustler","R3"
"insufficient_data/In Harms Way 1965 1080p BluRay x264-OFT.mkv","In Harms Way","1965","Otto Preminger","","US","","Unsorted","1960s","","Unsorted/","0.0","unsorted_no_match","37921","In Harm's Way","R3"
"insufficient_data/Jean-Christophe Averty - 1970 - Soft Self-Portrait of Salvador Dalí [VHS].mkv","Jean Christophe Averty","1970","","","","","Unsorted","1970s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Jutta Hercher, Maria Hemmleb - 1989 - Mein Herz schlägt blau (Ella Bergmann-Michel) [DVD-PAL].mkv","Jutta Hercher, Maria Hemmleb","1989","","","","","Unsorted","1980s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/La mujer murciélago (1968) 1080p.mkv","La mujer murciélago","1968","","","","","Unsorted","1960s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Le Plein De Super 1976 1080p FR X264 AAC-mHDgz.mkv","Le Plein De Super","1976","","","","","Unsorted","1970s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Les Egouts de Paradis.1979.576p.BDRip-AVC.ZONE.mkv","Les Egouts de Paradis","1979","","","","","Unsorted","1970s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Limonadovy Joe aneb Konska opera (1964).BDRip.CZ.EN.1080p.mkv","Limonadovy Joe aneb Konska opera","1964","Oldřich Lipský","","XC","","Unsorted","1960s","","Unsorted/","0.0","unsorted_no_match","20629","Lemonade Joe","R3"
"insufficient_data/Luigi Cozzi's Cozzilla (1977) - 1080p.mkv","Luigi Cozzi's Cozzilla","1977","","","","","Unsorted","1970s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/I vampiri AKA Lust of the Vampire 1957 1080p Bluray FLAC x264-Manji.mkv","I vampiri","1957","","","","","Unsorted","1950s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Mañana te cuento(2005).mkv","Mañana te cuento","2005","","","","","Unsorted","2000s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Mar.De.Rosas.1977.Remasterizado.mp4","Mar De Rosas","1977","","","","","Unsorted","1970s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Nada Sera Como Antes; A Música do Clube da Esquina (2023).mp4","Nada Sera Como Antes; A Música do Clube da Esquina","2023","","","","","Unsorted","2020s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Nénette et Boni (1996).mkv","Nénette et Boni","1996","","","","","Unsorted","1990s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/No me digas adiós (1950).mp4","No me digas adiós","1950","","","","","Unsorted","1950s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Ocean's 11 (1960).mp4","Ocean's 11","1960","Lewis Milestone","","US","","Unsorted","1960s","","Unsorted/","0.0","unsorted_no_match","299","Ocean's Eleven","R3"
"insufficient_data/Omega Man, The (1971).mkv","The Omega Man","1971","Boris Sagal","","US","","Unsorted","1970s","","Unsorted/","0.0","unsorted_no_match","11234","The Omega Man","R3"
"insufficient_data/Pink Force Commando (1982) Widescreen VHSrip (Eng Dub).m4v","Pink Force Commando","1982","Kevin Chu","","TW","","Unsorted","1980s","","Unsorted/","0.0","unsorted_no_match","104624","Pink Force Commando","R3"
"insufficient_data/Rekopis Znaleziony w Saragossie (1965).mkv","Rekopis Znaleziony w Saragossie","1965","","","","","Unsorted","1960s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/São Paulo Sociedade Anônima (1965).mkv","São Paulo Sociedade Anônima","1965","","","","","Unsorted","1960s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Sherman's March (1986).mkv","Sherman's March","1986","","","","","Unsorted","1980s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Stephen Sayadian - 1982 - Café Flesh [dual inglés+comments].mkv","Stephen Sayadian","1982","","","","","Unsorted","1980s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/The Adventures of Huckleberry Finn.1973.mkv","The Adventures of Huckleberry Finn","1973","Roman Davydov","","SU","","Unsorted","1970s","","Unsorted/","0.0","unsorted_no_match","760","The Mad Adventures of Rabbi Jacob","R3"
"insufficient_data/Toda Nudez Será Castigada [Arnaldo Jabor] (1973).720p.mp4","Toda Nudez Será Castigada [Arnaldo Jabor]","1973","","","","","Unsorted","1970s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Triumph Over Violence.Mikhail Romm.1965.WEB-DL.mkv","Triumph Over Violence Mikhail Romm","1965","Mikhail Romm","","SU","","Unsorted","1960s","","Unsorted/","0.0","unsorted_no_match","53194","Triumph Over Violence","R3"
"insufficient_data/Verão Fantasma 2022 1080p WEB-DL NACIONAL.mkv","Verão Fantasma","2022","","","","","Unsorted","2020s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Werewolf Bitches From Outer Space (2016).mkv","Werewolf Bitches From Outer Space","2016","Ashley McKenzie","","CA","","Unsorted","2010s","","Unsorted/","0.0","unsorted_no_match","410198","Werewolf","R3"
"insufficient_data/Who Fears the Devil_ (1972) 1080p h265 with optional audio commentray {imdb-tt0070295}.mkv","Who Fears the Devil","1972","","","","","Unsorted","1970s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Women å¥³äººå¿ƒ 1985.mkv","Women å¥³äººå¿ƒ","1985","","","","","Unsorted","1980s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Yasuzō Masumura - Vixen [1969].mkv","Yasuzō Masumura - Vixen","1969","","","","","Unsorted","1960s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Xiao hai 1991 NTSC DVD DD2.0 x264-Mdr.mkv","Xiao hai","1991","","","","","Unsorted","1990s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Interview With Director John Hough, Conducted By Marcus Hearn In 2013.mkv","Interview With Director John Hough, Conducted By Marcus Hearn In","2013","Perry Bhandal","","US","","Unsorted","2010s","","Unsorted/","0.0","unsorted_no_match","118737","Interview with a Hitman","R3"
"insufficient_data/The Props That Hammer Built The Kinsey Collection Featurette (2012).mkv","The Props That Hammer Built The Kinsey Collection Featurette","2012","Daniel Griffith","","US","","Unsorted","2010s","","Unsorted/","0.0","unsorted_no_match","","","R3"
"insufficient_data/Vampire Lovers, The (1970) 1080p h265 with 4 optional audio commentaries {imdb-tt0066518}.mkv","The Vampire Lovers","1970","Roy Ward Baker","","GB","","Unsorted","1970s","","Unsorted/","0.0","unsorted_no_match","31952","The Vampire Lovers","R3"
"insufficient_data/Strip-tease (1963) (Jacques Poitrenaud) 1080p Blu-ray h264 FR MrH.mkv","Strip-tease","1963","","","","","Unsorted","1960s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Cours du soir (1967).mkv","Cours du soir","1967","","","","","Unsorted","1960s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Jacques Tati in Monsieur Hulots Work (1976).mkv","Jacques Tati in Monsieur Hulots Work","1976","","","","","Unsorted","1970s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Plan 9 From Outer Space (1958) Movie Trailer.mkv","Plan 9 From Outer Space","1958","","","","","Unsorted","1950s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/Haunted World of Edward D Wood Jr, The (1955) 480p h264 {imdb-tt0113270}.mp4","The Haunted World of Edward D Wood Jr","1955","","","","","Unsorted","1950s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/John Schlesinger - 2000 BAFTA Interview.mkv","John Schlesinger","2000","","","","","Unsorted","2000s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
"insufficient_data/John Schlesinger - 2002 BAFTA Tribute.mkv","John Schlesinger","2002","","","","","Unsorted","2000s","","Unsorted/","0.0","unsorted_insufficient_data","","","R1"
